loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
2025-04-13T16:07:32.687-06:00,1,1666002.054595625,0.0425262451171875,-0.0468292236328125,-1.028228759765625,1666002.047733625,0.2044034749269485,-0.05384432151913643,0.02193406037986279,1666002.014968625,163.8907318115234,-38.72190856933594,-626.5786743164062
2025-04-13T16:07:32.688-06:00,2,1666002.064575625,0.0328369140625,-0.05255126953125,-1.031478881835938,1666002.057713625,0.2910198569297791,-0.01071975566446781,0.03765683248639107,1666002.014968625,163.8907318115234,-38.72190856933594,-626.5786743164062
2025-04-13T16:07:32.699-06:00,3,1666002.074555625,0.020904541015625,-0.0639801025390625,-1.008499145507812,1666002.067693625,0.2789783775806427,0.04606975615024567,0.0327499583363533,1666002.073667625,163.9428558349609,-39.051025390625,-626.2288208007812
2025-04-13T16:07:32.708-06:00,4,1666002.084535625,0.0204315185546875,-0.0719757080078125,-0.9832763671875,1666002.077673625,0.1994832754135132,0.08114412426948547,0.01316347252577543,1666002.073667625,163.9428558349609,-39.051025390625,-626.2288208007812
2025-04-13T16:07:32.718-06:00,5,1666002.094515625,0.0254974365234375,-0.0701904296875,-0.9727935791015625,1666002.087653625,0.09940701723098755,0.09824001789093018,-0.00800492987036705,1666002.073667625,163.9428558349609,-39.051025390625,-626.2288208007812
2025-04-13T16:07:32.728-06:00,6,1666002.104495625,0.0355224609375,-0.063140869140625,-0.967498779296875,1666002.097633625,0.02407417632639408,0.08674794435501099,-0.02695704810321331,1666002.073667625,163.9428558349609,-39.051025390625,-626.2288208007812
2025-04-13T16:07:32.738-06:00,7,1666002.114475625,0.043609619140625,-0.05462646484375,-0.97259521484375,1666002.107613625,-0.002781938062980771,0.06778490543365479,-0.02540282905101776,1666002.073667625,163.9428558349609,-39.051025390625,-626.2288208007812
2025-04-13T16:07:32.748-06:00,8,1666002.124455625,0.0489044189453125,-0.04644775390625,-0.9796295166015625,1666002.117593625,0.01131577137857676,0.05142750591039658,-0.01301966141909361,1666002.073667625,163.9428558349609,-39.051025390625,-626.2288208007812
2025-04-13T16:07:32.764-06:00,9,1666002.134435625,0.054290771484375,-0.04376220703125,-0.982177734375,1666002.127573625,0.04629665985703468,0.03756947815418243,0.003574494738131762,1666002.132364625,164.0616149902344,-39.12159729003906,-626.5418090820312
2025-04-13T16:07:32.768-06:00,10,1666002.144415625,0.0573883056640625,-0.048248291015625,-0.979522705078125,1666002.137553625,0.08522488176822662,0.02125442214310169,0.01653716526925564,1666002.132364625,164.0616149902344,-39.12159729003906,-626.5418090820312
2025-04-13T16:07:32.778-06:00,11,1666002.154395625,0.055633544921875,-0.0560302734375,-0.9749298095703125,1666002.147533625,0.1152315139770508,0.01254721730947495,0.02944097854197025,1666002.132364625,164.0616149902344,-39.12159729003906,-626.5418090820312
2025-04-13T16:07:32.788-06:00,12,1666002.164375625,0.050445556640625,-0.0614471435546875,-0.968048095703125,1666002.157513625,0.1266855001449585,0.004549211822450161,0.03731701150536537,1666002.132364625,164.0616149902344,-39.12159729003906,-626.5418090820312
2025-04-13T16:07:32.798-06:00,13,1666002.174355625,0.0461273193359375,-0.062744140625,-0.9601593017578125,1666002.167493625,0.120965301990509,-0.0024762072134763,0.03607757762074471,1666002.132364625,164.0616149902344,-39.12159729003906,-626.5418090820312
2025-04-13T16:07:32.808-06:00,14,1666002.184335625,0.0472259521484375,-0.060821533203125,-0.9528656005859375,1666002.177473625,0.09910740703344345,-0.0161235760897398,0.03235554322600365,1666002.132364625,164.0616149902344,-39.12159729003906,-626.5418090820312
2025-04-13T16:07:32.818-06:00,15,1666002.194315625,0.051849365234375,-0.061370849609375,-0.9542999267578125,1666002.187453625,0.06707677245140076,-0.04295172914862633,0.02995177358388901,1666002.191063625,164.0489501953125,-39.37596130371094,-626.32568359375
2025-04-13T16:07:32.828-06:00,16,1666002.204295625,0.0491790771484375,-0.06298828125,-0.9711456298828125,1666002.197433625,0.03290362283587456,-0.06990531831979752,0.024334367364645,1666002.191063625,164.0489501953125,-39.37596130371094,-626.32568359375
2025-04-13T16:07:32.838-06:00,17,1666002.214275625,0.04541015625,-0.06512451171875,-0.996795654296875,1666002.207413625,0.01044411864131689,-0.07396210730075836,0.0154607156291604,1666002.191063625,164.0489501953125,-39.37596130371094,-626.32568359375
2025-04-13T16:07:32.848-06:00,18,1666002.224255625,0.042877197265625,-0.06121826171875,-1.016983032226562,1666002.217393625,0.00558145297691226,-0.06410441547632217,0.00646695401519537,1666002.191063625,164.0489501953125,-39.37596130371094,-626.32568359375
2025-04-13T16:07:32.858-06:00,19,1666002.234235625,0.04437255859375,-0.057037353515625,-1.026138305664062,1666002.227373625,0.01315734721720219,-0.04618373885750771,0.002544916700571775,1666002.191063625,164.0489501953125,-39.37596130371094,-626.32568359375
2025-04-13T16:07:32.868-06:00,20,1666002.244215625,0.0474395751953125,-0.0552978515625,-1.025177001953125,1666002.237353625,0.03352440521121025,-0.0397370271384716,0.004758536349982023,1666002.191063625,164.0489501953125,-39.37596130371094,-626.32568359375
2025-04-13T16:07:32.878-06:00,21,1666002.254195625,0.0443572998046875,-0.0516357421875,-1.025848388671875,1666002.247333625,0.06084524095058441,-0.03263357654213905,0.006457100156694651,1666002.249762625,163.7906646728516,-39.21429443359375,-626.835205078125
2025-04-13T16:07:32.888-06:00,22,1666002.264175625,0.0466156005859375,-0.0537567138671875,-1.023269653320312,1666002.257313625,0.09102098643779755,-0.02143125608563423,0.001813346403650939,1666002.249762625,163.7906646728516,-39.21429443359375,-626.835205078125
2025-04-13T16:07:32.898-06:00,23,1666002.274155625,0.049530029296875,-0.0596466064453125,-1.0101318359375,1666002.267293625,0.1167681589722633,-0.01272325217723846,0.01079831924289465,1666002.249762625,163.7906646728516,-39.21429443359375,-626.835205078125
2025-04-13T16:07:32.908-06:00,24,1666002.284135625,0.0491180419921875,-0.0670623779296875,-0.99676513671875,1666002.277273625,0.124388799071312,-0.01597577147185802,0.02196468785405159,1666002.249762625,163.7906646728516,-39.21429443359375,-626.835205078125
2025-04-13T16:07:32.918-06:00,25,1666002.294115625,0.045257568359375,-0.071258544921875,-0.9846343994140625,1666002.287253625,0.1163966506719589,-0.01656299829483032,0.02496607042849064,1666002.249762625,163.7906646728516,-39.21429443359375,-626.835205078125
2025-04-13T16:07:32.928-06:00,26,1666002.304095625,0.050445556640625,-0.0723114013671875,-0.9795074462890625,1666002.297233625,0.09230676293373108,-0.01388199348002672,0.02827584557235241,1666002.249762625,163.7906646728516,-39.21429443359375,-626.835205078125
2025-04-13T16:07:32.938-06:00,27,1666002.314075625,0.0444183349609375,-0.0766754150390625,-0.980010986328125,1666002.307213625,0.06495742499828339,-0.01362233515828848,0.02517219819128513,1666002.308463625,163.8853149414062,-39.69911193847656,-626.088623046875
2025-04-13T16:07:32.948-06:00,28,1666002.324055625,0.0421600341796875,-0.075714111328125,-0.9817657470703125,1666002.317193625,0.01943282037973404,-0.006795055698603392,0.02713761106133461,1666002.308463625,163.8853149414062,-39.69911193847656,-626.088623046875
2025-04-13T16:07:32.958-06:00,29,1666002.334035625,0.0390167236328125,-0.074493408203125,-0.9884185791015625,1666002.327173625,-0.03312945738434792,0.01148621365427971,0.02462944574654102,1666002.308463625,163.8853149414062,-39.69911193847656,-626.088623046875
2025-04-13T16:07:32.967-06:00,30,1666002.344015625,0.038482666015625,-0.07391357421875,-0.9883880615234375,1666002.337153625,-0.07828362286090851,0.02972141094505787,0.01565885357558727,1666002.308463625,163.8853149414062,-39.69911193847656,-626.088623046875
2025-04-13T16:07:32.977-06:00,31,1666002.353995625,0.043853759765625,-0.0728759765625,-0.987548828125,1666002.347133625,-0.1033868417143822,0.03263144567608833,0.01104332972317934,1666002.308463625,163.8853149414062,-39.69911193847656,-626.088623046875
2025-04-13T16:07:32.988-06:00,32,1666002.363975625,0.04931640625,-0.070220947265625,-0.99261474609375,1666002.357113625,-0.1033847108483315,0.03230361267924309,0.008074438199400902,1666002.308463625,163.8853149414062,-39.69911193847656,-626.088623046875
2025-04-13T16:07:32.997-06:00,33,1666002.373955625,0.05133056640625,-0.06744384765625,-1.000717163085938,1666002.367093625,-0.08015581965446472,0.03639635816216469,-0.001074851839803159,1666002.367166625,163.7544708251953,-39.47535705566406,-626.6947021484375
2025-04-13T16:07:33.007-06:00,34,1666002.383935625,0.040771484375,-0.06768798828125,-1.004714965820312,1666002.377073625,-0.03869067132472992,0.03916950523853302,-0.01335521973669529,1666002.367166625,163.7544708251953,-39.47535705566406,-626.6947021484375
2025-04-13T16:07:33.017-06:00,35,1666002.393914625,0.051910400390625,-0.068695068359375,-1.0068359375,1666002.387053625,0.01206172257661819,0.04743675887584686,-0.01038366463035345,1666002.367166625,163.7544708251953,-39.47535705566406,-626.6947021484375
