0.0191639,9.2278404,-30.7367172,-43.5734863,0.0880787,-0.0824475,-0.0416518,0.1369652,1.5462845,9.3309961
0.0291129,9.2278404,-30.7367172,-43.5734863,0.0404221,-0.0226678,-0.0299323,0.0134720,1.7299525,8.9653065
0.0390619,9.0405197,-30.8433838,-43.6263428,-0.0011797,0.0098134,-0.0091572,-0.1329236,1.8658699,8.7660709
0.0490109,9.0405197,-30.8433838,-43.6263428,-0.0362826,0.0311861,0.0091986,-0.2706372,1.9378702,8.8277426
0.0589599,9.0455379,-30.7355042,-43.5951538,-0.0634425,0.0394270,0.0240825,-0.3496729,1.9484981,8.9527327
0.0689089,9.0455379,-30.7355042,-43.5951538,-0.0802818,0.0347041,0.0334605,-0.3935316,1.8718575,9.1343051
0.0788579,9.2876396,-30.5631943,-43.3187256,-0.0802823,0.0160367,0.0364997,-0.4333488,1.7404308,9.3727592
0.0888069,9.2876396,-30.5631943,-43.3187256,-0.0666946,-0.0190514,0.0409486,-0.4349954,1.6417859,9.6574672
0.0987559,9.2280750,-30.5522842,-43.3472900,-0.0554925,-0.0511851,0.0442890,-0.3736230,1.5862514,9.8546072
0.1087049,9.2280750,-30.5522842,-43.3472900,-0.0491835,-0.0690078,0.0381334,-0.2984793,1.5488292,9.9116386
0.1186539,9.0012875,-30.4806747,-43.5166016,-0.0370493,-0.0649763,0.0308049,-0.1933978,1.5063176,9.8703246
0.1286029,9.0012875,-30.4806747,-43.5166016,-0.0193383,-0.0511381,0.0245998,-0.0956511,1.4730867,9.7926361
0.1385519,9.0677700,-30.4453201,-43.4519653,0.0032741,-0.0435838,0.0145911,-0.0182620,1.4721886,9.7661412
0.1485009,9.0677700,-30.4453201,-43.4519653,0.0120364,-0.0450409,0.0014383,0.0538879,1.4835649,9.7558127
0.1584499,8.8058853,-30.6206360,-43.7445679,0.0080925,-0.0457520,-0.0124991,0.1014890,1.5085629,9.6912968
