loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
2025-04-13T21:49:26.599-06:00,1,1672342.261789125,-0.7891845703125,-0.5363616943359375,0.3616790771484375,1672342.251810125,0.02516740560531616,0.04547613859176636,0.05330290272831917,1672342.210084125,113.9151153564453,-63.67703247070312,-554.3499145507812
2025-04-13T21:49:26.600-06:00,2,1672342.271769125,-0.8017425537109375,-0.5476531982421875,0.3727569580078125,1672342.271769125,0.03583868965506554,0.01794997230172157,-0.0196317583322525,1672342.268745125,113.9347839355469,-63.73442077636719,-553.9638061523438
2025-04-13T21:49:26.600-06:00,3,1672342.281748125,-0.793182373046875,-0.5503692626953125,0.3801116943359375,1672342.281748125,0.01880724355578423,0.01925997994840145,-0.03697506338357925,1672342.268745125,113.9347839355469,-63.73442077636719,-553.9638061523438
2025-04-13T21:49:26.602-06:00,4,1672342.291728125,-0.7762603759765625,-0.5426483154296875,0.3797760009765625,1672342.291728125,-0.007477091159671545,0.02533518336713314,-0.02428323589265347,1672342.268745125,113.9347839355469,-63.73442077636719,-553.9638061523438
2025-04-13T21:49:26.612-06:00,5,1672342.301707125,-0.7664794921875,-0.5294647216796875,0.377105712890625,1672342.301707125,-0.03463494405150414,0.0317523367702961,-0.007272293791174889,1672342.268745125,113.9347839355469,-63.73442077636719,-553.9638061523438
2025-04-13T21:49:26.622-06:00,6,1672342.311687125,-0.7687225341796875,-0.5294189453125,0.3721160888671875,1672342.311687125,-0.04898964613676071,0.03617797791957855,0.003033873159438372,1672342.268745125,113.9347839355469,-63.73442077636719,-553.9638061523438
2025-04-13T21:49:26.632-06:00,7,1672342.321666125,-0.772003173828125,-0.5306854248046875,0.3599395751953125,1672342.321666125,-0.04601596295833588,0.03699423745274544,0.001324656303040683,1672342.268745125,113.9347839355469,-63.73442077636719,-553.9638061523438
2025-04-13T21:49:26.642-06:00,8,1672342.331646125,-0.7720947265625,-0.5306396484375,0.3471527099609375,1672342.331646125,-0.02979837544262409,0.03631246834993362,-0.006061354652047157,1672342.327407125,113.6998291015625,-63.71316528320312,-554.4473876953125
2025-04-13T21:49:26.651-06:00,9,1672342.341625125,-0.7704620361328125,-0.52587890625,0.343658447265625,1672342.341625125,-0.01751081645488739,0.03394944593310356,-0.009674731642007828,1672342.327407125,113.6998291015625,-63.71316528320312,-554.4473876953125
2025-04-13T21:49:26.661-06:00,10,1672342.351605125,-0.765625,-0.517791748046875,0.34637451171875,1672342.341625125,-0.01751081645488739,0.03394944593310356,-0.009674731642007828,1672342.327407125,113.6998291015625,-63.71316528320312,-554.4473876953125
2025-04-13T21:49:26.671-06:00,11,1672342.361585125,-0.75823974609375,-0.512969970703125,0.3459625244140625,1672342.361585125,-0.02159557305276394,0.03068440966308117,0.01273656822741032,1672342.327407125,113.6998291015625,-63.71316528320312,-554.4473876953125
2025-04-13T21:49:26.681-06:00,12,1672342.371564125,-0.7638702392578125,-0.5137176513671875,0.348602294921875,1672342.371564125,-0.03002074919641018,0.02228879369795322,0.01691613346338272,1672342.327407125,113.6998291015625,-63.71316528320312,-554.4473876953125
2025-04-13T21:49:26.691-06:00,13,1672342.381544125,-0.7681427001953125,-0.515228271484375,0.34820556640625,1672342.371564125,-0.03002074919641018,0.02228879369795322,0.01691613346338272,1672342.327407125,113.6998291015625,-63.71316528320312,-554.4473876953125
2025-04-13T21:49:26.701-06:00,14,1672342.391523125,-0.776702880859375,-0.515594482421875,0.334320068359375,1672342.391523125,0.01654781773686409,0.02674905583262444,0.02433330193161964,1672342.386072125,113.8783569335938,-63.74087524414062,-554.197509765625
2025-04-13T21:49:26.711-06:00,15,1672342.401503125,-0.7831878662109375,-0.5204315185546875,0.323822021484375,1672342.401503125,0.062038604170084,0.01761707663536072,1.784317828423809e-05,1672342.386072125,113.8783569335938,-63.74087524414062,-554.197509765625
2025-04-13T21:49:26.721-06:00,16,1672342.411482125,-0.7821197509765625,-0.5139007568359375,0.338409423828125,1672342.411482125,0.07866604626178741,-0.007556186988949776,-0.02130156010389328,1672342.386072125,113.8783569335938,-63.74087524414062,-554.197509765625
2025-04-13T21:49:26.731-06:00,17,1672342.421462125,-0.785308837890625,-0.5144805908203125,0.3509674072265625,1672342.411482125,0.07866604626178741,-0.007556186988949776,-0.02130156010389328,1672342.386072125,113.8783569335938,-63.74087524414062,-554.197509765625
2025-04-13T21:49:26.741-06:00,18,1672342.431441125,-0.7840728759765625,-0.5248260498046875,0.3510284423828125,1672342.431441125,0.09031151980161667,-0.01391661446541548,-0.04109044373035431,1672342.386072125,113.8783569335938,-63.74087524414062,-554.197509765625
2025-04-13T21:49:26.751-06:00,19,1672342.441421125,-0.7793426513671875,-0.5280609130859375,0.3634796142578125,1672342.441421125,0.07585322111845016,0.002930808812379837,-0.0298811998218298,1672342.386072125,113.8783569335938,-63.74087524414062,-554.197509765625
2025-04-13T21:49:26.761-06:00,20,1672342.451400125,-0.766754150390625,-0.5260772705078125,0.376708984375,1672342.441421125,0.07585322111845016,0.002930808812379837,-0.0298811998218298,1672342.444738125,113.7610321044922,-63.60334777832031,-554.4042358398438
2025-04-13T21:49:26.770-06:00,21,1672342.461380125,-0.769500732421875,-0.5302886962890625,0.377685546875,1672342.461380125,0.02719992958009243,0.01239568274468184,0.002751045394688845,1672342.444738125,113.7610321044922,-63.60334777832031,-554.4042358398438
2025-04-13T21:49:26.781-06:00,22,1672342.471359125,-0.7866973876953125,-0.54278564453125,0.373992919921875,1672342.471359125,0.02330345846712589,0.0256105549633503,-0.002359560690820217,1672342.444738125,113.7610321044922,-63.60334777832031,-554.4042358398438
2025-04-13T21:49:26.791-06:00,23,1672342.481339125,-0.786163330078125,-0.54241943359375,0.3758544921875,1672342.481339125,0.02125468850135803,0.02154151163995266,-0.007917045615613461,1672342.444738125,113.7610321044922,-63.60334777832031,-554.4042358398438
2025-04-13T21:49:26.801-06:00,24,1672342.491319125,-0.7820587158203125,-0.540496826171875,0.3813934326171875,1672342.491319125,0.01396561693400145,0.01191897690296173,-0.01542662642896175,1672342.444738125,113.7610321044922,-63.60334777832031,-554.4042358398438
