loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
2025-04-14T14:41:29.557-06:00,1,1716804.219346542,-0.00213623046875,-0.0002593994140625,-0.9999237060546875,1716804.209991542,0.002216815249994397,0.007056578062474728,-0.0006934871198609471,1716804.220809542,-42.91793823242188,-101.3356018066406,-733.6607666015625
2025-04-14T14:41:29.558-06:00,2,1716804.229325542,-0.0009918212890625,-0.0006561279296875,-0.99859619140625,1716804.219970542,0.00156993349082768,0.005488508846610785,0.0009387642494402826,1716804.230581542,-43.05062866210938,-101.3471527099609,-733.6475219726562
2025-04-14T14:41:29.570-06:00,3,1716804.239304542,-0.00054931640625,-0.0009613037109375,-0.99993896484375,1716804.229949542,-0.00120854249689728,0.005850166082382202,-0.0005693838465958834,1716804.240353542,-43.11029052734375,-101.2122039794922,-733.5689697265625
2025-04-14T14:41:29.574-06:00,4,1716804.249283542,7.62939453125e-05,-0.0050811767578125,-0.9954376220703125,1716804.239928542,0.0009534116834402084,0.006373210810124874,0.0009454221581108868,1716804.250125542,-43.07318115234375,-101.2165069580078,-733.6707153320312
2025-04-14T14:41:29.584-06:00,5,1716804.259262542,0.0006103515625,-0.0049896240234375,-0.9980621337890625,1716804.249907542,-0.002468750346451998,0.005249356850981712,-0.001632517785765231,1716804.259898542,-43.02438354492188,-101.2243804931641,-733.322998046875
2025-04-14T14:41:29.597-06:00,6,1716804.269241542,0.0019073486328125,-0.0052490234375,-1.00054931640625,1716804.269865542,0.0005041363765485585,0.006368417292833328,-0.0004657868703361601,1716804.269669542,-42.9725341796875,-101.2433929443359,-733.6277465820312
2025-04-14T14:41:29.604-06:00,7,1716804.279220542,0.002227783203125,-0.0016937255859375,-0.99700927734375,1716804.269865542,0.0005041363765485585,0.006368417292833328,-0.0004657868703361601,1716804.279442542,-43.04266357421875,-101.3759307861328,-733.4024047851562
2025-04-14T14:41:29.614-06:00,8,1716804.289199542,0.002716064453125,-0.0007476806640625,-0.999755859375,1716804.289823542,0.0007036071619950235,0.004890895448625088,-0.001213868847116828,1716804.289214542,-42.89231872558594,-101.2473449707031,-733.7590942382812
2025-04-14T14:41:29.624-06:00,9,1716804.299179542,0.003265380859375,-0.001556396484375,-0.9983673095703125,1716804.289823542,0.0007036071619950235,0.004890895448625088,-0.001213868847116828,1716804.298986542,-42.94508361816406,-101.2901611328125,-733.5797729492188
2025-04-14T14:41:29.634-06:00,10,1716804.309158542,0.0028228759765625,-0.0008544921875,-0.9986419677734375,1716804.299803542,0.0007227819296531379,0.005938316695392132,0.001240766723640263,1716804.308758542,-43.02377319335938,-101.2826843261719,-733.4308471679688
2025-04-14T14:41:29.643-06:00,11,1716804.319137542,0.0041656494140625,-0.001007080078125,-0.9987335205078125,1716804.309782542,-0.0008029430755414069,0.005941778887063265,-0.0006207828409969807,1716804.318531542,-43.02476501464844,-101.0953216552734,-733.70166015625
2025-04-14T14:41:29.653-06:00,12,1716804.329116542,0.0040740966796875,-0.00079345703125,-0.9976348876953125,1716804.319761542,0.001563808182254434,0.005760950036346912,0.002126267878338695,1716804.328304542,-43.27507019042969,-101.2264709472656,-733.51171875
2025-04-14T14:41:29.663-06:00,13,1716804.339095542,0.00384521484375,-0.0009918212890625,-0.99835205078125,1716804.329740542,0.001058340189047158,0.005014199763536453,0.000392816262319684,1716804.338076542,-43.06198120117188,-101.1143798828125,-733.7340087890625
